VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
5107,2015-11-30,2019-11-30,2019-10-31,2019-12-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,No,300,500,38000,15000,47000
5108,2015-05-31,2019-05-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,No,300,NULL,39000,21000,52000
5109,2015-03-31,2019-03-31,2019-02-28,2019-03-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,G,Major,2900,NULL,100000,14000,44000
5110,2015-03-31,2019-03-31,2019-01-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,Moderate,400,700,71000,18000,45000
5111,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,No,1200,400,53000,18000,43000
5112,2015-03-31,2019-03-31,2019-03-31,2019-04-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,G,Major,1100,NULL,54000,17000,49000
5113,2015-03-31,2018-06-30,2018-03-31,2018-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,No,NULL,500,65000,22000,47000
5114,2015-08-31,2019-08-31,2019-04-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,Major,NULL,300,64000,17000,49000
5115,2015-03-31,2019-03-31,2019-02-28,2019-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,Major,500,500,46000,16000,49000
5116,2015-08-31,2019-08-31,2019-06-30,2019-07-31,Reposessed,Independent Retailer,4,2001,TRIM_7,MODEL_A,H,Moderate,NULL,400,84000,18000,51000
5117,2015-07-31,2019-07-31,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,G,Moderate,3300,NULL,50000,17000,48000
5118,2015-10-31,2019-10-31,2019-08-31,2019-10-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,No,2200,NULL,97000,12000,51000
5119,2015-06-30,2018-12-31,2018-07-31,2019-02-28,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_7,MODEL_A,H,Moderate,4000,900,57000,19000,51000
5120,2015-04-30,2019-04-30,2018-09-30,2018-09-30,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_7,MODEL_A,G,No,500,NULL,34000,21000,44000
5121,2015-03-31,2019-03-31,2018-11-30,2019-01-31,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_7,MODEL_A,H,Moderate,1000,500,53000,19000,47000
5122,2015-04-30,2019-04-30,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,Major,1100,NULL,67000,18000,45000
5123,2015-05-31,2019-05-31,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,Moderate,600,NULL,59000,17000,45000
5124,2015-10-31,2019-10-31,2019-02-28,2019-03-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,No,200,NULL,74000,17000,45000
5125,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,No,NULL,600,75000,18000,47000
5126,2015-06-30,2019-06-30,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_7,MODEL_A,H,Major,900,NULL,34000,18000,49000
5127,2015-01-31,2019-01-31,2018-10-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_7,MODEL_A,H,No,NULL,600,74000,20000,45000
5128,2015-03-31,2019-03-31,2018-08-31,2018-10-31,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_7,MODEL_A,H,No,300,500,37000,22000,48000
