VIN_NO,TYPE,COLOUR
413,Exterior Color,GREY
413,Upholstery Type,BLACK
414,Upholstery Type,BROWN
414,Exterior Color,WHITE
415,Upholstery Type,BLACK
415,Exterior Color,GREY
416,Upholstery Type,BLACK
416,Exterior Color,BLACK
417,Exterior Color,WHITE
417,Upholstery Type,BLACK
418,Exterior Color,BLACK
418,Upholstery Type,BLACK
419,Upholstery Type,BROWN
419,Exterior Color,BLUE
420,Exterior Color,GREY
420,Upholstery Type,BLACK
421,Upholstery Type,UNDEF
421,Exterior Color,UNDEF
422,Exterior Color,BLUE
422,Upholstery Type,BEIGE
423,Upholstery Type,BROWN
423,Exterior Color,BLUE
424,Exterior Color,BLACK
424,Upholstery Type,BLACK
425,Upholstery Type,UNDEF
425,Exterior Color,BLACK
426,Upholstery Type,BLACK
426,Exterior Color,BLUE
427,Upholstery Type,BLACK
427,Exterior Color,WHITE
428,Exterior Color,GREY
428,Upholstery Type,BLACK
429,Exterior Color,SILVER
429,Upholstery Type,UNDEF
430,Upholstery Type,BLACK
430,Exterior Color,WHITE
431,Exterior Color,GREY
431,Upholstery Type,BROWN
432,Upholstery Type,BLACK
432,Exterior Color,WHITE
433,Upholstery Type,BLACK
433,Exterior Color,WHITE
434,Upholstery Type,RED
434,Exterior Color,WHITE
435,Upholstery Type,BLACK
435,Exterior Color,WHITE
436,Upholstery Type,BLACK
436,Exterior Color,WHITE
437,Exterior Color,BLACK
437,Upholstery Type,BROWN
438,Upholstery Type,RED
438,Exterior Color,WHITE
439,Upholstery Type,UNDEF
439,Exterior Color,UNDEF
440,Exterior Color,BLACK
440,Upholstery Type,RED
441,Exterior Color,GREY
441,Upholstery Type,RED
442,Exterior Color,GREY
442,Upholstery Type,BLACK
443,Exterior Color,BLACK
443,Upholstery Type,UNDEF
444,Exterior Color,BLACK
444,Upholstery Type,BLACK
445,Upholstery Type,BLACK
445,Exterior Color,GREY
446,Exterior Color,RED
446,Upholstery Type,BLACK
447,Exterior Color,WHITE
447,Upholstery Type,BLACK
448,Upholstery Type,BLACK
448,Exterior Color,WHITE
449,Exterior Color,BLACK
449,Upholstery Type,RED
450,Upholstery Type,UNDEF
450,Exterior Color,WHITE
451,Exterior Color,BLUE
451,Upholstery Type,GREY
452,Upholstery Type,BLACK
452,Exterior Color,BLACK
453,Exterior Color,SILVER
453,Upholstery Type,BLACK
454,Exterior Color,GREY
454,Upholstery Type,BROWN
455,Upholstery Type,BLACK
455,Exterior Color,RED
456,Exterior Color,BLACK
456,Upholstery Type,BLACK
457,Exterior Color,WHITE
457,Upholstery Type,BLACK
458,Upholstery Type,BLACK
458,Exterior Color,BLACK
459,Upholstery Type,BROWN
459,Exterior Color,BLACK
460,Upholstery Type,BLACK
460,Exterior Color,GREY
461,Exterior Color,BLACK
461,Upholstery Type,BLACK
462,Exterior Color,SILVER
462,Upholstery Type,BLACK
463,Exterior Color,BLUE
463,Upholstery Type,UNDEF
464,Upholstery Type,BEIGE
464,Exterior Color,BLUE
465,Exterior Color,GREY
465,Upholstery Type,BLACK
466,Upholstery Type,BLACK
466,Exterior Color,WHITE
467,Exterior Color,BLACK
467,Upholstery Type,BLACK
468,Exterior Color,BLACK
468,Upholstery Type,BROWN
469,Upholstery Type,RED
469,Exterior Color,WHITE
470,Exterior Color,BLUE
470,Upholstery Type,UNDEF
471,Upholstery Type,BLACK
471,Exterior Color,BLACK
472,Exterior Color,WHITE
472,Upholstery Type,BEIGE
473,Upholstery Type,UNDEF
473,Exterior Color,WHITE
474,Exterior Color,GREY
474,Upholstery Type,BLACK
475,Upholstery Type,BLACK
475,Exterior Color,WHITE
476,Exterior Color,BLACK
476,Upholstery Type,BLACK
477,Upholstery Type,BLACK
477,Exterior Color,BLACK
478,Upholstery Type,BLACK
478,Exterior Color,BLACK
479,Exterior Color,GREY
479,Upholstery Type,BLACK
480,Exterior Color,WHITE
480,Upholstery Type,RED
481,Upholstery Type,BROWN
481,Exterior Color,UNDEF
482,Upholstery Type,BLACK
482,Exterior Color,GREY
483,Upholstery Type,UNDEF
483,Exterior Color,UNDEF
484,Exterior Color,BLACK
484,Upholstery Type,BLACK
